"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","武蔵小山",11,72000000,3900000,"",60,1200000,"台形",5,"","","","","住宅","東","私道",3.3,"準工業",60,300,"2024年第4四半期","","私道を含む取引"
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","武蔵小山",5,66000000,"","２ＬＤＫ",50,"","","","","2006年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","武蔵小山",6,30000000,"","１ＤＫ",25,"","","","","1998年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","武蔵小山",5,95000000,"","２ＬＤＫ",50,"","","","","2023年","ＲＣ","","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","武蔵小山",5,57000000,"","１ＬＤＫ",35,"","","","","2004年","ＲＣ","","住宅","","","","商業",80,500,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","武蔵小山",8,51000000,"","１ＬＤＫ",30,"","","","","2018年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","荏原","武蔵小山",6,35000000,"","１ＬＤＫ",30,"","","","","1998年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",8,180000000,3900000,"",155,1200000,"ほぼ台形",7.6,"","","","","住宅","北","区道",3.5,"１種住居",60,200,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大井","大井町",3,25000000,"","１Ｋ",25,"","","","","1977年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大井","大井町",6,65000000,"","３ＬＤＫ",55,"","","","","1999年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大井","大井町",5,23000000,"","１Ｋ",20,"","","","","2003年","ＲＣ","","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大井","大井町",5,91000000,"","２ＬＤＫ",45,"","","","","2020年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大井","大井町",5,130000000,"","",55,"","","","","2019年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",9,110000000,"","",110,"","ほぼ長方形",7.4,125,"2004年","軽量鉄骨造","住宅","住宅","南","私道",4,"１低住専",60,150,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",9,29000000,1400000,"",70,430000,"ほぼ長方形","","","","","","住宅","接面道路無","","","１低住専",60,150,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大井","大森(東京)",8,41000000,"","３ＬＤＫ",50,"","","","","1984年","ＲＣ","住宅","住宅","","","","１低住専",60,150,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","下神明",9,140000000,3500000,"",135,1100000,"不整形",9,"","","","","住宅","北東","区道",3.9,"１種住居",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","立会川",10,110000000,"","",60,"","台形",5.6,95,"2024年","木造","住宅","住宅","南西","区道",3.4,"１中住専",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13109","東京都","品川区","大井","立会川",11,90000000,"","",80,"","不整形",2.8,80,"2025年","木造","住宅","住宅","南西","区道",3.3,"１中住専",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","西大井",12,89000000,"","",150,"","不整形","",80,"2013年","木造","住宅","住宅","北","私道",4,"１中住専",60,200,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大井","西大井",9,89000000,"","３ＬＤＫ",70,"","","","","2004年","ＲＣ","住宅","住宅","","","","１中住専",60,200,"2024年第4四半期","未改装",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","大崎","大崎",5,130000000,"","",60,"","ほぼ長方形",5.3,100,"2006年","木造","住宅","住宅","南東","市道",3.8,"１種住居",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","大崎","大崎",6,310000000,"","",280,"","ほぼ台形",12,370,"1989年","ＲＣ","共同住宅、事務所","住宅","南東","私道",3,"近隣商業",80,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","大崎","大崎",9,91000000,"","",80,"","ほぼ長方形",7.4,"","","","","","北東","私道",4,"１種住居",60,300,"2024年第4四半期","","私道を含む取引"
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",4,110000000,"","３ＬＤＫ",80,"","","","","2004年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",6,49000000,"","１ＬＤＫ",45,"","","","","2013年","ＲＣ","住宅","住宅","","","","１種住居",60,300,"2024年第4四半期","未改装","関係者間取引"
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",5,130000000,"","２ＬＤＫ",60,"","","","","2009年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",5,170000000,"","２ＬＤＫ",75,"","","","","2009年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",5,69000000,"","１ＬＤＫ",50,"","","","","2006年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",5,68000000,"","２ＬＤＫ",55,"","","","","1984年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",6,61000000,"","２ＬＤＫ",50,"","","","","2013年","ＲＣ","住宅","住宅","","","","１種住居",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",6,53000000,"","１ＬＤＫ＋Ｓ",50,"","","","","1971年","鉄骨造","住宅","住宅","","","","１種住居",60,300,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",5,180000000,"","３ＬＤＫ",80,"","","","","2009年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",6,170000000,"","３ＬＤＫ",95,"","","","","1998年","ＳＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",5,79000000,"","１ＬＤＫ",50,"","","","","2006年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","大崎","大崎",5,120000000,"","２ＬＤＫ",55,"","","","","2009年","ＲＣ","","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13109","東京都","品川区","大崎","大崎広小路",1,360000000,"","",300,"","ほぼ長方形",10,660,"2006年","ＲＣ","事務所","","北西","区道",4,"商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","勝島","大井競馬場前",8,84000000,"","２ＬＤＫ",70,"","","","","2015年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","勝島","大井競馬場前",6,42000000,"","３ＬＤＫ",55,"","","","","1983年","ＳＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","上大崎","高輪台",9,15000000,"","１Ｒ",15,"","","","","1984年","ＲＣ","住宅","住宅","","","","１中住専",60,200,"2024年第4四半期","未改装",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","上大崎","目黒",7,1600000000,"","",630,"","ほぼ長方形",22,"2,000㎡以上","1999年","ＲＣ","共同住宅、駐車場","その他","南西","区道",7.1,"１中住専",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","上大崎","目黒",7,260000000,"","",155,"","不整形",10,125,"","木造","住宅","","東","区道",4,"１種住居",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","上大崎","目黒",8,260000000,"","",180,"","ほぼ長方形",9.4,190,"1964年","木造","住宅、共同住宅","","北東","区道",4,"１種住居",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","上大崎","目黒",1,130000000,"","１ＬＤＫ",50,"","","","","2007年","ＲＣ","住宅","住宅","","","","商業",80,600,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","上大崎","目黒",8,27000000,"","１Ｋ",20,"","","","","2006年","ＲＣ","住宅","住宅","","","","１中住専",60,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","上大崎","目黒",4,16000000,"","オープンフロア",20,"","","","","1978年","ＲＣ","住宅","店舗","","","","１種住居",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","上大崎","目黒",5,42000000,"","１ＬＤＫ",35,"","","","","1967年","ＳＲＣ","住宅","住宅","","","","１中住専",60,300,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","上大崎","目黒",11,100000000,"","２ＬＤＫ",55,"","","","","2021年","ＲＣ","住宅","住宅","","","","１低住専",60,150,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","上大崎","目黒",1,160000000,"","２ＬＤＫ",55,"","","","","2007年","ＲＣ","住宅","住宅","","","","商業",80,600,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","上大崎","目黒",5,80000000,"","２ＬＤＫ",65,"","","","","1967年","ＳＲＣ","住宅","住宅","","","","１中住専",60,300,"2024年第4四半期","改装済み",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","北品川","大崎",9,690000000,"","",220,"","不整形","",560,"1970年","ＲＣ","共同住宅","その他","北","私道",6,"１種住居",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","大崎",6,65000000,"","１ＤＫ",40,"","","","","2006年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","大崎",9,32000000,"","１Ｋ",20,"","","","","2016年","ＲＣ","住宅","住宅","","","","１種住居",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","大崎",14,55000000,"","１ＬＤＫ",60,"","","","","1983年","ＲＣ","住宅","住宅","","","","１低住専",60,150,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","大崎",6,100000000,"","１ＬＤＫ",40,"","","","","2015年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","大崎",4,70000000,"","３ＬＤＫ",55,"","","","","1979年","ＳＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","大崎",5,24000000,"","２ＤＫ",45,"","","","","1979年","ＳＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","大崎",7,75000000,"","３ＬＤＫ",75,"","","","","1981年","ＳＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","未改装","関係者間取引"
"宅地(土地)","不動産取引価格情報","商業地","13109","東京都","品川区","北品川","北品川",3,200000000,9400000,"",70,2900000,"ほぼ台形",9.3,"","","","","その他","東","区道",7.2,"近隣商業",80,400,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","北品川",3,31000000,"","１Ｋ",20,"","","","","2014年","ＲＣ","住宅","住宅","","","","近隣商業",80,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","北品川",3,30000000,"","１Ｋ",20,"","","","","2013年","ＲＣ","住宅","","","","","１種住居",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","北品川",3,31000000,"","１Ｋ",20,"","","","","2016年","ＲＣ","住宅","その他","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","北品川","新馬場",4,65000000,4200000,"",50,1300000,"長方形",4.2,"","","","","その他","西","区道",3.8,"１中住専",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","新馬場",5,29000000,"","１Ｋ",20,"","","","","2010年","ＲＣ","","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","新馬場",4,42000000,"","１ＬＤＫ",40,"","","","","1979年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","新馬場",3,38000000,"","２ＬＤＫ",55,"","","","","2001年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","新馬場",6,31000000,"","１Ｋ",20,"","","","","2017年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","新馬場",3,93000000,"","３ＬＤＫ",85,"","","","","1970年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装","関係者間取引"
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","新馬場",4,24000000,"","２ＤＫ",40,"","","","","1979年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","北品川","新馬場",6,85000000,"","３ＬＤＫ",55,"","","","","2011年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","小山","洗足",5,200000000,2300000,"",290,690000,"不整形",4.8,"","","","","住宅","東","区道",5.4,"１低住専",50,100,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","小山","西小山",6,130000000,"","",65,"","長方形",5.2,95,"2024年","木造","住宅","住宅","北東","私道",4,"１種住居",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","小山","西小山",5,110000000,"","",80,"","ほぼ整形","",115,"2024年","木造","住宅","住宅","西","私道",4,"１種住居",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","小山","西小山",6,130000000,"","",65,"","長方形",5.7,110,"2024年","木造","住宅","住宅","北東","私道",4,"１種住居",60,300,"2024年第4四半期","","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","小山","西小山",5,480000000,4100000,"",390,1200000,"ほぼ長方形","","","","","","住宅","南西","区道",4.3,"１種住居",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","小山","西小山",5,110000000,"","",105,"","長方形",9.5,175,"1997年","木造","住宅","その他","南西","区道",4.2,"１種住居",60,200,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","小山","西小山",3,17000000,"","１ＤＫ",20,"","","","","1984年","ＲＣ","","住宅","","","","商業",80,400,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","小山","西小山",3,70000000,"","３ＬＤＫ",85,"","","","","1988年","ＲＣ","","住宅","","","","近隣商業",80,300,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","小山","不動前",6,49000000,"","２ＬＤＫ",40,"","","","","1984年","ＲＣ","住宅","住宅","","","","準工業",60,300,"2024年第4四半期","改装済み",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","小山","不動前",6,90000000,"","２ＬＤＫ",55,"","","","","2013年","ＲＣ","","住宅","","","","準工業",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","小山","武蔵小山",4,12000000,"","１Ｋ",15,"","","","","戦前","ＲＣ","","住宅","","","","近隣商業",80,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","小山","武蔵小山",2,93000000,"","１ＬＤＫ",40,"","","","","2021年","ＲＣ","住宅","住宅","","","","近隣商業",80,300,"2024年第4四半期","未改装",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","小山台","不動前",8,90000000,3900000,"",75,1200000,"不整形",5.7,"","","","","住宅","南東","私道",2.1,"準工業",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","小山台","武蔵小山",9,460000000,"","",470,"","不整形","",440,"1989年","ＲＣ","共同住宅","住宅","南","私道",4,"１中住専",60,200,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","戸越","戸越",6,73000000,4000000,"",60,1200000,"長方形",6,"","","","","住宅","南東","区道",3,"１種住居",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","戸越","戸越",7,71000000,"","",85,"","ほぼ長方形",12.5,"","","","","住宅","北西","私道",2.2,"１種住居",60,200,"2024年第4四半期","","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","戸越","戸越",7,73000000,"","",60,"","ほぼ正方形",6.5,"","","","","住宅","南東","区道",1.8,"１種住居",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13109","東京都","品川区","戸越","戸越",6,150000000,"","",105,"","ほぼ長方形",7.1,"","","","","","南西","区道",7,"近隣商業",80,400,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","戸越","戸越",6,88000000,"","",115,"","長方形",9,130,"1967年","木造","共同住宅","その他","北西","私道",2.7,"１種住居","","","2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","戸越","戸越",1,350000000,6600000,"",175,2000000,"ほぼ整形",12.2,"","","","","住宅","北","私道",4,"１種住居",60,200,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","戸越","戸越公園",2,250000000,3100000,"",270,940000,"ほぼ台形",19,"","","","","","南","区道",6.3,"１種住居",60,200,"2024年第4四半期","","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","戸越","戸越公園",3,140000000,"","",85,"","不整形",2.5,115,"2024年","木造","住宅","住宅","東","区道",6,"１種住居",60,200,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","戸越","戸越公園",1,110000000,"","２ＬＤＫ",55,"","","","","2024年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","戸越","戸越公園",4,95000000,"","３ＬＤＫ",65,"","","","","2018年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","戸越","戸越公園",1,130000000,"","２ＬＤＫ",65,"","","","","2024年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","戸越","戸越公園",1,140000000,"","３ＬＤＫ",65,"","","","","2024年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","戸越","戸越公園",4,55000000,"","１ＬＤＫ",40,"","","","","2016年","ＲＣ","","住宅","","","","近隣商業",80,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","戸越","戸越公園",1,84000000,"","２ＬＤＫ",50,"","","","","2024年","ＲＣ","住宅","住宅","","","","近隣商業",80,400,"2024年第4四半期","未改装",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13109","東京都","品川区","中延","荏原中延",1,31000000,"","",55,"","長方形",5.3,65,"1982年","木造","住宅","その他","北西","私道",3.2,"近隣商業",80,400,"2024年第4四半期","","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","中延","荏原中延",3,18000000,"","",55,"","長方形","",50,"1971年","木造","","その他","北","私道","","１種住居",60,200,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","中延","荏原町",6,75000000,2800000,"",85,860000,"ほぼ長方形",5.6,"","","","","住宅","東","私道",4,"準工業",60,200,"2024年第4四半期","","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","13109","東京都","品川区","中延","荏原町",5,170000000,"","",230,"","不整形","",250,"1974年","ＲＣ","共同住宅、事務所、店舗","その他","北","区道",6.7,"近隣商業",80,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","中延","荏原町",4,92000000,"","",65,"","","","","2009年","ＲＣ","","住宅","","","","１種住居",60,200,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","中延","荏原町",4,65000000,"","１ＬＤＫ",40,"","","","","2009年","ＲＣ","","住宅","","","","１種住居",60,200,"2024年第4四半期","改装済み",""
"宅地(土地)","不動産取引価格情報","商業地","13109","東京都","品川区","中延","戸越",6,45000000,4600000,"",30,1400000,"長方形",13.2,"","","","","その他","北東","都道",22.7,"近隣商業",80,400,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","中延","中延",3,67000000,2900000,"",80,860000,"ほぼ長方形",7.9,"","","","","住宅","西","区道",4.2,"１種住居",60,200,"2024年第4四半期","","私道を含む取引"
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","西大井","中延",8,98000000,"","３ＬＤＫ",65,"","","","","2015年","ＲＣ","住宅","住宅","","","","商業",80,400,"2024年第4四半期","未改装",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","西大井","西大井",10,57000000,2400000,"",80,730000,"ほぼ正方形",9.7,"","","","","住宅","北","区道",3.5,"１低住専",60,150,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","西大井","西大井",8,67000000,3500000,"",65,1100000,"長方形",6,"","","","","住宅","西","私道",2.9,"１中住専",60,200,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","西大井","西大井",7,66000000,2200000,"",100,660000,"長方形",7,"","","","","住宅","北","私道",1.9,"１中住専",60,200,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13109","東京都","品川区","西大井","西大井",3,56000000,"","１ＬＤＫ",50,"","","","","1995年","ＲＣ","住宅","住宅","","","","準工業",60,200,"2024年第4四半期","",""
